SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	September 12, 2018	September 11, 2018	September 10, 2018	September 07, 2018	September 06, 2018
Chinese yuan		0.1043180000	0.1043900000	0.1044710000	0.1045340000
Euro		0.8284770000	0.8285600000	0.8296570000	0.8315810000
Japanese yen		0.0064226900	0.0064545300	0.0064642400	0.0064250300
U.K. pound		0.9316970000	0.9259450000	0.9300160000	0.9245030000
U.S. dollar		0.7158090000	0.7160660000	0.7142980000	0.7147850000
Algerian dinar		0.0060542800	0.0060575500	0.0060439400	0.0060505000
Australian dollar		0.5100850000	0.5094810000	0.5107940000	0.5125720000
Bahrain dinar			1.9044300000	1.8997300000	1.9010200000
Botswana pula		0.0654965000	0.0655916000	0.0652868000	0.0651884000
Brazilian real		0.1719250000	0.1746460000		0.1724280000
Brunei dollar		0.5197190000	0.5185880000	0.5193380000	0.5190510000
Canadian dollar			0.5439990000	0.5426150000	0.5419970000
Chilean peso			0.0010401300	0.0010428200	0.0010343500
Colombian peso			0.0002332350	0.0002312040	0.0002305480
Czech koruna		0.0323062000	0.0323047000	0.0322861000	0.0323579000
Danish krone		0.1110640000	0.1110990000	0.1112440000	0.1115210000
Hungarian forint		0.0025620400	0.0025500900	0.0025629600	0.0025403700
Icelandic krona		0.0063055800	0.0064008800	0.0064172000	0.0065193800
Indian rupee		0.0098974300	0.0098666300	0.0099344800	0.0099384200
Indonesian rupiah			0.0000482687	0.0000479910	0.0000480011
Iranian rial		0.0000170431	0.0000170492		0.0000170187
Israeli New Shekel				0.1994690000	0.1988280000
Kazakhstani tenge		0.0018791100	0.0018938000	0.0019016500	0.0019202800
Korean won		0.0006345260	0.0006375800	0.0006370830	0.0006395710
Kuwaiti dinar			2.3640300000	2.3593700000	2.3609700000
Libyan dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian ringgit				0.1723900000	0.1723830000
Mauritian rupee		0.0208554000	0.0208678000	0.0208292000	0.0208350000
Mexican peso		0.0371501000	0.0371040000	0.0371268000	0.0369310000
Nepalese rupee		0.0061744900	0.0062386000	0.0062015800	0.0062258100
New Zealand dollar		0.4672800000	0.4668030000	0.4703650000	0.4719010000
Norwegian krone		0.0855954000	0.0853923000	0.0848799000	0.0850631000
Omani rial		1.8616600000	1.8623300000	1.8577300000	1.8590000000
Pakistani rupee		0.0057609100	0.0057630300	0.0057487800	0.0057527000
Peruvian sol			0.2154230000	0.2150200000	0.2154260000
Philippine peso		0.0132917000	0.0133021000	0.0133056000	0.0133487000
Polish zloty		0.1930080000	0.1920620000	0.1930800000	0.1924410000
Qatari riyal		0.1966510000	0.1967210000	0.1962360000	0.1963700000
Russian ruble		0.0102296000	0.0102488000	0.0103479000	0.0104730000
Saudi Arabian riyal		0.1908820000	0.1909510000	0.1904790000	0.1906090000
Singapore dollar		0.5197190000	0.5185880000	0.5193380000	0.5190510000
South African rand		0.0474355000	0.0471596000	0.0471822000	0.0467351000
Sri Lankan rupee		0.0044087400	0.0044264300	0.0044097700	0.0044111000
Swedish krona		0.0793448000	0.0791618000	0.0785953000	0.0786645000
Swiss franc		0.7349170000	0.7355580000	0.7397840000	0.7373860000
Thai baht		0.0218075000	0.0217941000	0.0217827000	0.0217902000
Trinidadian dollar		0.1058950000	0.1060010000	0.1058200000	0.1060640000
Tunisian dinar			0.2579170000	0.2582740000	0.2573710000
U.A.E. dirham		0.1949110000	0.1949810000	0.1944990000	0.1946320000
Uruguayan peso			0.0218960000	0.0220544000	0.0219765000
Bolivar Fuerte					

Currency units per SDR(3)

Currency	September 12, 2018	September 11, 2018	September 10, 2018	September 07, 2018	September 06, 2018
Chinese yuan		9.586070	9.579460	9.572030	9.566270
Euro		1.207030	1.206910	1.205320	1.202530
